BasicDogTagData 58b1422e2df9f14da465980b3440375a #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB016_2NDMVP
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 679144886
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB016_2NDMVP
        DescriptionSID ID_DT_D_DTB016_2NDMVP
        ImageName UI/Art/Persistence/DogTag/dtb016
        SmallImageName UI/Art/Persistence/DogTag/dtb016_small
        Category DTC_Ribbons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
