AdvancedDogTagData fb0784defe82e948b56e84718cbaca23 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/Bundle7
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1882097468
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA_BUNDLE7
        DescriptionSID ID_DT_D_DTA_BUNDLE7
        ImageName UI/Art/Persistence/DogTag/Bundle7
        SmallImageName UI/Art/Persistence/DogTag/Bundle7_small
        Category DTC_Misc
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode *nullString*
    IsStatMeasuredInTime False
    StatSID *nullString*
