AdvancedDogTagData c9e5535e15e5b541b082bdd6c775a814 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA092_AK-74MMASTER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1641950879
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA092_AK-74MMASTER
        DescriptionSID ID_DT_D_DTA092_AK-74MMASTER
        ImageName UI/Art/Persistence/DogTag/AK-74M
        SmallImageName UI/Art/Persistence/DogTag/AK-74M_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_arAK74__kwa_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A092
PersistentCriteriaStatRef b206729668cb3e4d9ab13012af3d8254
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/statcategories/weaponcategories/0a7e712a124cc341b42d521c58c91311
    ParamX persistence/statcategories/weaponcategories/f8460011940d4449a8682b85d61d6ef5
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
