BasicDogTagData 97daee8f661de749acbde65c4bd8f0e5 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/XP2_DTB005_L86A1
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1107859440
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_XP2_N_DTB005_L86A1
        DescriptionSID ID_DT_XP2_D_DTB005_L86A1
        ImageName UI/Art/Persistence/DogTag/XP2_dtb005
        SmallImageName UI/Art/Persistence/DogTag/XP2_dtb005_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
