BasicDogTagData 8c85012fe9bc98419229f8da48301f6c #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB100_F2000
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1552097543
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB100_F2000
        DescriptionSID ID_DT_D_DTB100_F2000
        ImageName UI/Art/Persistence/DogTag/dtb100
        SmallImageName UI/Art/Persistence/DogTag/dtb100_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
