BasicDogTagData 93f1eca698394247a484db1c4cd182a1 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB021_STATIONARY
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 2350363153
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB021_STATIONARY
        DescriptionSID ID_DT_D_DTB021_STATIONARY
        ImageName UI/Art/Persistence/DogTag/dtb021
        SmallImageName UI/Art/Persistence/DogTag/dtb021_small
        Category DTC_Ribbons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
