AdvancedDogTagData fdfa4150957aea499939b6260c567848 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/Bundle5
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1882097470
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA_BUNDLE5
        DescriptionSID ID_DT_D_DTA_BUNDLE5
        ImageName UI/Art/Persistence/DogTag/Bundle5
        SmallImageName UI/Art/Persistence/DogTag/Bundle5_small
        Category DTC_Misc
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode *nullString*
    IsStatMeasuredInTime False
    StatSID *nullString*
