BasicDogTagData 6d157f3e414d874c847cd70a6d7e4123 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB139_M93R
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 3941852252
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB139_M93R
        DescriptionSID ID_DT_D_DTB139_M93R
        ImageName UI/Art/Persistence/DogTag/dtb139
        SmallImageName UI/Art/Persistence/DogTag/dtb139_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
