AdvancedDogTagData 72753d8d3e9e07c547f7836280c70588 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/XP4_PREM3_DTA002
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 2062553497
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_XP4_PREM3_N_DTA002
        DescriptionSID ID_DT_XP4_PREM3_D_DTA002
        ImageName UI/Art/Persistence/DogTag/XP4_PREM3_DTA002
        SmallImageName UI/Art/Persistence/DogTag/XP4_PREM3_DTA002_small
        Category DTC_Misc
        InvertText True
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode *nullString*
    IsStatMeasuredInTime False
    StatSID *nullString*
