BasicDogTagData 9e204d0731b4454c995b3215cc6668c3 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/XP1_DTB007_MG36
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 475588524
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_XP1_DT_N_DTB007_MG36
        DescriptionSID ID_XP1_DT_D_DTB007_MG36
        ImageName UI/Art/Persistence/DogTag/XP1_dtb007
        SmallImageName UI/Art/Persistence/DogTag/XP1_dtb007_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
