AdvancedDogTagData aebc0607bebc1b42893357b2410a7a04 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA037_MORTAR
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 155451186
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA037_MORTAR
        DescriptionSID ID_DT_D_DTA037_MORTAR
        ImageName UI/Art/Persistence/DogTag/dta037
        SmallImageName UI/Art/Persistence/DogTag/dta037_small
        Category DTC_Medals
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_seqM224__ki_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A037
PersistentCriteriaStatRef 31f41916f0d6844297ab5d37ad7b3c8c
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/statcategories/vehiclecategories/1349d16b7bd4a14ca359da678d644307
    ParamX persistence/statcategories/vehiclecategories/9430dabedae68b45ae419f6bbc3bbb8a
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
