AdvancedDogTagData cd324a42b9bf0049b6884f0c1e3a8ebd #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/AASERVICESTAR100
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1872040423
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_AASERVICESTAR100
        DescriptionSID ID_DT_D_AASERVICESTAR100
        ImageName UI/Art/Persistence/DogTag/AASERVICESTAR100
        SmallImageName UI/Art/Persistence/DogTag/AASERVICESTAR100_small
        Category DTC_ServiceStars
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode *nullString*
    IsStatMeasuredInTime False
    StatSID *nullString*
