BasicDogTagData dd1fe455ebc2174393b8a91e63fbb085 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB131_M9
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1439490005
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB131_M9
        DescriptionSID ID_DT_D_DTB131_M9
        ImageName UI/Art/Persistence/DogTag/dtb131
        SmallImageName UI/Art/Persistence/DogTag/dtb131_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
