AdvancedDogTagData 6942ad5983264c4b99df9c77958b0c78 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA019_COMBAT
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 606002143
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA019_COMBAT
        DescriptionSID ID_DT_D_DTA019_COMBAT
        ImageName UI/Art/Persistence/DogTag/dta019
        SmallImageName UI/Art/Persistence/DogTag/dta019_small
        Category DTC_Medals
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode r20_00
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A019
PersistentAwardDataStatRef 497c79712360104cbb7bff2f932a7d53
    $::AbstractPersistentStatRef
        $::DataContainer
    Definition persistence/awards/awards/a9fa437e5ee89b43b17820395debcd65
