AdvancedDogTagData fa162e4817d13344b8ebccdf931dc585 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA137_M-45MASTER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 4115669561
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA137_M-45MASTER
        DescriptionSID ID_DT_D_DTA137_M-45MASTER
        ImageName UI/Art/Persistence/DogTag/M45
        SmallImageName UI/Art/Persistence/DogTag/M45_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_pM1911__kwa_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A137
PersistentCriteriaStatRef 1d936f4958e430498c88db915379a36e
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/statcategories/weaponcategories/0a7e712a124cc341b42d521c58c91311
    ParamX persistence/statcategories/weaponcategories/daf779991340e94e8e6b4f139b449bdb
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
