BasicDogTagData 0cd864c494d558499154ef6a52e0fc8c #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB120_MK11SNIPER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 387955092
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB120_MK11SNIPER
        DescriptionSID ID_DT_D_DTB120_MK11SNIPER
        ImageName UI/Art/Persistence/DogTag/dtb120
        SmallImageName UI/Art/Persistence/DogTag/dtb120_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
