AdvancedDogTagData d78e01df6c0ef4439760b282ab4e2b16 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA111_SG553MASTER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1394722459
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA111_SG553MASTER
        DescriptionSID ID_DT_D_DTA111_SG553MASTER
        ImageName UI/Art/Persistence/DogTag/SG553
        SmallImageName UI/Art/Persistence/DogTag/SG553_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_caSG553__kwa_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A111
PersistentCriteriaStatRef a90852d7542c864eb66cf2d8d4524ae5
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/statcategories/weaponcategories/0a7e712a124cc341b42d521c58c91311
    ParamX persistence/statcategories/weaponcategories/0d2356260a50fa46baa37501412c2e5b
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
