AdvancedDogTagData ff63fdee272d1748b305804c17dde1a4 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTA125_MUAVMASTER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 1355551028
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTA125_MUAVMASTER
        DescriptionSID ID_DT_D_DTA125_MUAVMASTER
        ImageName UI/Art/Persistence/DogTag/MUAV
        SmallImageName UI/Art/Persistence/DogTag/MUAV_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_seqMAV__spx_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_A125
PersistentCriteriaStatRef 7a0c1a9eac58bf4ea20c66e998a657d2
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/awards/awards/9eaac0669abbb0409fd12abcd8a84f93
    ParamX *nullGuid*
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
