AdvancedDogTagData 4404fa25974cf34d95a563684fb9d4ae #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/XP3_DTA_MART_MASTER
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 2043389276
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_XP3_MARTMASTER
        DescriptionSID ID_DT_D_XP3_MARTMASTER
        ImageName UI/Art/Persistence/DogTag/ART_MASTER
        SmallImageName UI/Art/Persistence/DogTag/ART_MASTER_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
    StatCode c_vMART__ki_g
    IsStatMeasuredInTime False
    StatSID ID_DT_STAT_XP3_ARTMASTER
PersistentCriteriaStatRef 32996931c1a7994ca7948690369d97bd
    $::AbstractPersistentStatRef
        $::DataContainer
    Criteria persistence/statcategories/vehiclecategories/1349d16b7bd4a14ca359da678d644307
    ParamX persistence/statcategories/vehiclecategories/11a2969aaf354b4a80d8b36394e83938
    ParamY *nullGuid*
    CriteriaOwner *nullGuid*
