BasicDogTagData bc785eadff820944a04d96822ea43175 #primary instance
    $::DogTagData
        $::UnlockAssetBase
            $::Asset
                $::DataContainer
                Name Persistence/DogTags/DTB155_SCOUTHELI
            UnlockUserData *nullGuid*
            DebugUnlockId *nullString*
            Identifier 3645020661
            UnlockScore 0
            AutoAvailable False
            NextLevelUnlockAsset *nullGuid*
            HiddenInProgression False
            AvailableForPlayer UnlockAvailability_All
        NameSID ID_DT_N_DTB155_SCOUTHELI
        DescriptionSID ID_DT_D_DTB155_SCOUTHELI
        ImageName UI/Art/Persistence/DogTag/dtb155
        SmallImageName UI/Art/Persistence/DogTag/dtb155_small
        Category DTC_Weapons
        InvertText False
        IsAlwaysAvailable False
        ExcludedOnXenon False
        ExcludedOnPs3 False
        ExcludedOnWin32 False
