DataContainerAsset 4ad43828201da5428ee5e14cc219eb1c #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/4_0xZoom
    Data f8d974bf1ce17540bddbaac3f27c608d
ZoomLevelData f8d974bf1ce17540bddbaac3f27c608d
    $::DataContainer
    FieldOfView 17.2000007629
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.310000002384
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.000937499979045
    SwayYawMultiplier 0.00187499995809
    SupportedSwayPitchMultiplier 0.000937499979045
    SupportedSwayYawMultiplier 0.00187499995809
    TimePitchMultiplier 0.15000000596
    TimeYawMultiplier 0.0500000007451
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.10000000149
    FadeToBlackDuration 0.20000000298
    StartFadeFromBlackAtTime 0.300000011921
    FadeFromBlackDuration 0.10000000149
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.990000009537
    OnActivateEventType ZoomLevelActivateEventType_Disable
