DataContainerAsset 9fe2b067c73aaf4a83ccd2f1f29269fa #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/FastIronSights
    Data 62778850df21f5429740ecdbceecc3b4
ZoomLevelData 62778850df21f5429740ecdbceecc3b4
    $::DataContainer
    FieldOfView 40.0
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.5
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.800000011921
    SwayPitchMultiplier 0.000937499979045
    SwayYawMultiplier 0.00187499995809
    SupportedSwayPitchMultiplier 0.000937499979045
    SupportedSwayYawMultiplier 0.00187499995809
    TimePitchMultiplier 0.15000000596
    TimeYawMultiplier 0.0500000007451
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.10000000149
    FadeToBlackDuration 0.20000000298
    StartFadeFromBlackAtTime 0.300000011921
    FadeFromBlackDuration 0.10000000149
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.990000009537
    OnActivateEventType ZoomLevelActivateEventType_Disable
