DataContainerAsset 58de0811265f8048a12e9ca7f3d4bd45 #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/8_0xZoom
    Data 173691c64588354a914638f2a988ec03
ZoomLevelData 173691c64588354a914638f2a988ec03
    $::DataContainer
    FieldOfView 8.69999980927
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.159999996424
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.00374999991618
    SwayYawMultiplier 0.00749999983236
    SupportedSwayPitchMultiplier 0.00749999983236
    SupportedSwayYawMultiplier 0.0149999996647
    TimePitchMultiplier 0.15000000596
    TimeYawMultiplier 0.0500000007451
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier -2.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.10000000149
    FadeToBlackDuration 0.20000000298
    StartFadeFromBlackAtTime 0.300000011921
    FadeFromBlackDuration 0.10000000149
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.920000016689
    OnActivateEventType ZoomLevelActivateEventType_Disable
