DataContainerAsset 39224fef1b2a9e4cb82028dc688f991c #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/6xENVG
    Data 0edd836aa31cdf47a829f0efeff228f1
ZoomLevelData 0edd836aa31cdf47a829f0efeff228f1
    $::DataContainer
    FieldOfView 11.6000003815
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.209999993443
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.00370000000112
    SwayYawMultiplier 0.0149999996647
    SupportedSwayPitchMultiplier 0.00370000000112
    SupportedSwayYawMultiplier 0.0149999996647
    TimePitchMultiplier 0.15000000596
    TimeYawMultiplier 0.0500000007451
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier -2.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.10000000149
    FadeToBlackDuration 0.20000000298
    StartFadeFromBlackAtTime 0.300000011921
    FadeFromBlackDuration 0.10000000149
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.850000023842
    OnActivateEventType ZoomLevelActivateEventType_Enable
