DataContainerAsset 77e3b8f5a2135a4892f5103951245dc7 #primary instance
    $::Asset
        $::DataContainer
        Name Weapons/Common/ZoomLevels/2_0xZoom
    Data 39986eb028dae64286c442d1f8e3aadb
ZoomLevelData 39986eb028dae64286c442d1f8e3aadb
    $::DataContainer
    FieldOfView 32.0
    AllowFieldOfViewScaling False
    LookSpeedMultiplier 0.319999992847
    SprintLookSpeedMultiplier 0.5
    MoveSpeedMultiplier 0.5
    SwayPitchMultiplier 0.000937499979045
    SwayYawMultiplier 0.00187499995809
    SupportedSwayPitchMultiplier 0.000937499979045
    SupportedSwayYawMultiplier 0.00187499995809
    TimePitchMultiplier 0.15000000596
    TimeYawMultiplier 0.0500000007451
    DispersionMultiplier 1.0
    RecoilMultiplier 1.0
    RecoilFovMultiplier 1.0
    CameraImpulseMultiplier 1.0
    FadeToBlackInZoomTransition False
    StartFadeToBlackAtTime 0.10000000149
    FadeToBlackDuration 0.20000000298
    StartFadeFromBlackAtTime 0.300000011921
    FadeFromBlackDuration 0.10000000149
    UseFovSpecialisation False
    ScreenExposureAreaScale 0.990000009537
    OnActivateEventType ZoomLevelActivateEventType_Disable
