SoldierWeaponUnlockAsset 7b6a7935fac70f4cad993ddb3b60a293 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/Sa18IGLA/U_Sa18IGLA
        UnlockUserData *nullGuid*
        DebugUnlockId U_Sa18IGLA
        Identifier 3693992734
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/sa18igla/sa18igla/6402ae076caabbd1a820bd5d60326037
    Extra *nullGuid*
    WeaponIdentifier 1036276660
