SoldierWeaponUnlockAsset 47f20aba5b2e74458f89515dfa1c767d #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/XP2_L86/U_L86
        UnlockUserData *nullGuid*
        DebugUnlockId U_L86
        Identifier 3509378043
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/xp2_l86/l86/76316daf2518ae4e9496b4ceac61f238
    Extra *nullGuid*
    WeaponIdentifier 3947204625
