DecalTemplateData 88cde8e5e4044374c078284deee54c62 #primary instance
    $::Asset
        $::DataContainer
        Name Decals/Impacts/Brick/Decal_Brick_S_01
    Size 0.270000010729
    RandomSize 0.20000000298
    Rotation 0.0
    RandomRotation 180.0
    ClipAngle 70.0
    ProximityRadiusFactor 0.5
    NormalOffset 0.0010000000475
    MaterialIndex 0
    SortingPriority 0
    AtlasTile::DecalAtlasTile
        TileIndexX 0.0
        TileIndexY 0.0
        TileCountX 1.0
        TileCountY 1.0
        FlipX False
        FlipY False
    Shader decals/impacts/brick/shader_decal_brick_s_01/80f9be703d55d44ab548e106817dff05
    Projected True
    MeshUVIndex -1
