SoldierWeaponUnlockAsset e599b8324205e645a34b86871c7fe098 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/M27IAR/U_M27IAR
        UnlockUserData *nullGuid*
        DebugUnlockId U_M27IAR
        Identifier 414083806
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/m27iar/m27iar/316802d27b174e4080f8534c0cf9524d
    Extra *nullGuid*
    WeaponIdentifier 2864963508
