SoldierWeaponUnlockAsset 7392681c3776ff4089a5e75f120d9e02 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/M27IAR/U_M27IAR_RU
        UnlockUserData *nullGuid*
        DebugUnlockId U_M27IAR_RU
        Identifier 3163059526
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/m27iar/m27iar/316802d27b174e4080f8534c0cf9524d
    Extra *nullGuid*
    WeaponIdentifier 2864963508
