SoldierWeaponUnlockAsset 215b49a42428074296414bcfae7b160c #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/FGM148/U_FGM148_SP
        UnlockUserData *nullGuid*
        DebugUnlockId U_FGM148_SP
        Identifier 44656194
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/fgm148/fgm148_sp/eb302ff8f79c354d8f63a058f21e24c6
    Extra *nullGuid*
    WeaponIdentifier 3649597992
