SensingTemplateData c7b6b077fbae0041839ab6f74a2c8ac6 #primary instance
    $::GameSensingTemplateData
        $::Asset
            $::DataContainer
            Name AI/AI_Templates/Sensing_Templates/Sensing_SPJetAACrew
    AwareForgetTime 9999.0
    LostForgetTime 9999.0
    TimeUntilUnseenIsLost 1.0
    MaximumMergeDistance 32.0
    MaximumAlertDistance 128.0
    MaximumReadinessRaiseDistance 129.0
    UseSenseSharing True
    RelaxedLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 180.0
        ViewDistance 5000.0
        PeripheralViewAngle 180.0
        PeripheralViewDistance 5000.0
        PeripheralMovementCutoff 0.75
    ReadyLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 180.0
        ViewDistance 5000.0
        PeripheralViewAngle 180.0
        PeripheralViewDistance 5000.0
        PeripheralMovementCutoff 0.75
    CombatLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 180.0
        ViewDistance 5000.0
        PeripheralViewAngle 180.0
        PeripheralViewDistance 5000.0
        PeripheralMovementCutoff 0.75
    DebugText *nullString*
    NoticeBullets True
