SensingTemplateData 894be65f874b944eac632c586db05e04 #primary instance
    $::GameSensingTemplateData
        $::Asset
            $::DataContainer
            Name AI/AI_Templates/Sensing_Templates/Sensing_Assault_Squadmate
    AwareForgetTime 9999.0
    LostForgetTime 9999.0
    TimeUntilUnseenIsLost 20.0
    MaximumMergeDistance 32.0
    MaximumAlertDistance 128.0
    MaximumReadinessRaiseDistance 129.0
    UseSenseSharing True
    RelaxedLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 30.0
        ViewDistance 50.0
        PeripheralViewAngle 75.0
        PeripheralViewDistance 50.0
        PeripheralMovementCutoff 0.75
    ReadyLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 100.0
        ViewDistance 80.0
        PeripheralViewAngle 100.0
        PeripheralViewDistance 80.0
        PeripheralMovementCutoff 0.75
    CombatLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 100.0
        ViewDistance 80.0
        PeripheralViewAngle 100.0
        PeripheralViewDistance 80.0
        PeripheralMovementCutoff 0.75
    DebugText *nullString*
    NoticeBullets True
