SensingTemplateData 2c0e644e900e1942a76cf3cdfb44ce4b #primary instance
    $::GameSensingTemplateData
        $::Asset
            $::DataContainer
            Name AI/AI_Templates/Sensing_Templates/Sensing_SP007_LongRange_Soldier
    AwareForgetTime 9999.0
    LostForgetTime 9999.0
    TimeUntilUnseenIsLost 20.0
    MaximumMergeDistance 32.0
    MaximumAlertDistance 128.0
    MaximumReadinessRaiseDistance 129.0
    UseSenseSharing True
    RelaxedLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 70.0
        ViewDistance 200.0
        PeripheralViewAngle 100.0
        PeripheralViewDistance 200.0
        PeripheralMovementCutoff 0.75
    ReadyLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 70.0
        ViewDistance 200.0
        PeripheralViewAngle 100.0
        PeripheralViewDistance 200.0
        PeripheralMovementCutoff 0.75
    CombatLimits::SensingLimits
        HearingDistance 70.0
        HearingCutoff 0.5
        ViewAngle 70.0
        ViewDistance 200.0
        PeripheralViewAngle 100.0
        PeripheralViewDistance 200.0
        PeripheralMovementCutoff 0.75
    DebugText *nullString*
    NoticeBullets True
