AIWeaponData 48dd5b2bac191842b4a49a15cdc6cd84 #primary instance
    $::GameAIWeaponData
        $::Asset
            $::DataContainer
            Name AI/Weapons/Vehicle_aa_AI_Weapon
    Strengths::Strengths
        Infantry 1.0
        LightArmour 2.0
        HeavyArmour 0.10000000149
        Helicopter 10.0
    Indirect False
    IsAiAllowed True
    UseFromCover False
    DisableWeaponSway False
    MinRange 5.0
    MaxRange 500.0
    OptimalRangePercentage 0.0
    ReloadBehavior RbAnywhere
    MinExtraReloadTime 0.0
    MaxExtraReloadTime 0.0
    AllowedAgainstImmortals True
    CanSuppress True
    CanAltAttack False
    IsStandStill False
    IsMelee False
    IsBlindFireAllowed True
    WaitTimeBeforeFire 0.0
    BurstLimitNear::BurstLimit
        Min 8
        Max 8
    BurstLimitFar::BurstLimit
        Min 10
        Max 10
    MinBurstCoolDownTime 1.0
    MaxBurstCoolDownTime 3.0
    LostTargetBurstCoolDownModifier 2.0
    AimTransitionFireDelay 2.0
    AimAngularVelocity 0.0
    AngleToTargetSnap 0.0
    AimWhileReloading True
    UseZoom False
    AimOrigin AoWeapon
    GravityModifier 1.0
    AimHighIndirectPath False
    MinimumAccuracyBeforeFiring 20.0
    AdditionalMinimumAccuracyAtMinRange 0.0
    SweepFirstAttack False
    SweepType SstFirstTime
    SweepDistance -30.0
    SweepTime 5.0
    InnerInaccurateDistance 0.0
    OuterInaccurateDistance 5.0
    InaccuracyFollowsTarget True
    UseInaccuracyAtCloseRange False
    StartAccuracyPercentage 0.0
    FinalAccuracyPercentage 1.0
