AIWeaponData 384a5945f37d4e4483b31849e0e9624b #primary instance
    $::GameAIWeaponData
        $::Asset
            $::DataContainer
            Name AI/Weapons/Handheld_shg_AI_Weapon
    Strengths::Strengths
        Infantry 4.0
        LightArmour 0.0500000007451
        HeavyArmour 0.0
        Helicopter 0.0
    Indirect False
    IsAiAllowed True
    UseFromCover False
    DisableWeaponSway False
    MinRange 0.0
    MaxRange 50.0
    OptimalRangePercentage 0.15000000596
    ReloadBehavior RbInCover
    MinExtraReloadTime 0.0
    MaxExtraReloadTime 0.0
    AllowedAgainstImmortals True
    CanSuppress True
    CanAltAttack False
    IsStandStill False
    IsMelee False
    IsBlindFireAllowed False
    WaitTimeBeforeFire 0.0
    BurstLimitNear::BurstLimit
        Min 1
        Max 1
    BurstLimitFar::BurstLimit
        Min 1
        Max 1
    MinBurstCoolDownTime 0.300000011921
    MaxBurstCoolDownTime 0.600000023842
    LostTargetBurstCoolDownModifier 1.0
    AimTransitionFireDelay 0.0
    AimAngularVelocity 0.0
    AngleToTargetSnap 5.0
    AimWhileReloading False
    UseZoom False
    AimOrigin AoDefault
    GravityModifier 1.0
    AimHighIndirectPath False
    MinimumAccuracyBeforeFiring 5.0
    AdditionalMinimumAccuracyAtMinRange 10.0
    SweepFirstAttack False
    SweepType SstTargetLost
    SweepDistance 0.0
    SweepTime 0.5
    InnerInaccurateDistance 0.800000011921
    OuterInaccurateDistance 1.20000004768
    InaccuracyFollowsTarget True
    UseInaccuracyAtCloseRange False
    StartAccuracyPercentage 0.5
    FinalAccuracyPercentage 1.0
