AIWeaponData 070384cccd1202419f63bde51e552c41 #primary instance
    $::GameAIWeaponData
        $::Asset
            $::DataContainer
            Name AI/Weapons/Vehicle_tank_SP_Bank_AI_Weapon
    Strengths::Strengths
        Infantry 3.0
        LightArmour 10.0
        HeavyArmour 10.0
        Helicopter 5.0
    Indirect True
    IsAiAllowed True
    UseFromCover False
    DisableWeaponSway False
    MinRange 5.0
    MaxRange 2000.0
    OptimalRangePercentage 0.0
    ReloadBehavior RbAnywhere
    MinExtraReloadTime 0.0
    MaxExtraReloadTime 0.0
    AllowedAgainstImmortals True
    CanSuppress True
    CanAltAttack False
    IsStandStill False
    IsMelee False
    IsBlindFireAllowed False
    WaitTimeBeforeFire 1.0
    BurstLimitNear::BurstLimit
        Min 1
        Max 1
    BurstLimitFar::BurstLimit
        Min 1
        Max 1
    MinBurstCoolDownTime 0.0
    MaxBurstCoolDownTime 0.0
    LostTargetBurstCoolDownModifier 1.0
    AimTransitionFireDelay 0.0
    AimAngularVelocity 0.0
    AngleToTargetSnap 10.0
    AimWhileReloading False
    UseZoom False
    AimOrigin AoDefault
    GravityModifier 1.0
    AimHighIndirectPath False
    MinimumAccuracyBeforeFiring 10.0
    AdditionalMinimumAccuracyAtMinRange 10.0
    SweepFirstAttack False
    SweepType SstFirstTime
    SweepDistance 10.0
    SweepTime 0.5
    InnerInaccurateDistance 1.0
    OuterInaccurateDistance 1.5
    InaccuracyFollowsTarget True
    UseInaccuracyAtCloseRange False
    StartAccuracyPercentage 0.0
    FinalAccuracyPercentage 0.0
