DecalTemplateData cfca1d9fb19fe9cd68de3230accd931a #primary instance
    $::Asset
        $::DataContainer
        Name Decals/Impacts/Wood/Decal_Wood_S_01
    Size 0.159999996424
    RandomSize 0.019999999553
    Rotation 0.0
    RandomRotation 20.0
    ClipAngle 70.0
    ProximityRadiusFactor 0.40000000596
    NormalOffset 0.0010000000475
    MaterialIndex 0
    SortingPriority 0
    AtlasTile::DecalAtlasTile
        TileIndexX 0.0
        TileIndexY 0.0
        TileCountX 1.0
        TileCountY 1.0
        FlipX False
        FlipY False
    Shader decals/impacts/wood/shader_decal_wood_s_01/2b9dbd8ac5b6574486681b66806cdf25
    Projected True
    ProjectMultiple False
    MeshUVIndex -1
