SoldierWeaponUnlockAsset 97573a2b345a6146907154ff1974d385 #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/XP2_SteyrAug/U_SteyrAug_M320_LVG
        UnlockUserData *nullGuid*
        DebugUnlockId U_SteyrAug_M320_LVG
        Identifier 2752001114
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/xp2_steyraug/steyraug/427ef98df1c74d4e826ee9b90206c16e
    Extra weapons/xp2_steyraug/u_steyraug_40mm_lvg/0ad0d099ec7dae498d790327b0048845
    WeaponIdentifier 4203472467
