SoundWaveAsset b698fcb6726972489f5581631d62d372 #primary instance
    $::SoundDataAsset
        $::Asset
            $::DataContainer
            Name Sound/VO/EN/MP/Comrose/Radio/vo_us_mp_comrose_spotted_sniper_r
        NameHash 2702652982
        Chunks::array
            member::SoundDataChunk
                ChunkId 8D99C3CBD1C90F2929175FDE483704EA
                ChunkSize 3350948
            member::SoundDataChunk
                ChunkId B982742060364F9F1D423CA40BB1E63E
                ChunkSize 3722316
            member::SoundDataChunk
                ChunkId 1D5CD739D88084BE22FE20C0AFB9CD1A
                ChunkSize 4766560
            member::SoundDataChunk
                ChunkId 5654BFED8F9E0554299EF6991F3E9572
                ChunkSize 4535656
            member::SoundDataChunk
                ChunkId 029DF8EAF8A9C298C18E39A4583DB614
                ChunkSize 3170040
            member::SoundDataChunk
                ChunkId 3B1239FC1877D9800823E4FA179F75BA
                ChunkSize 3903848
            member::SoundDataChunk
                ChunkId 20DC0969D942F7A2C3C541075FB4FB26
                ChunkSize 3492948
            member::SoundDataChunk
                ChunkId EADF81DE6C7E9BB2336DAFDAD62D254A
                ChunkSize 3707184
    Variations::array
        member 610ec0d7eb1ccc31eb98071c66e68932
        member 9abe0222ef8622135da80e40d9e308e8
        member c13e66f0919ff158fd53ff1e04b5ab49
        member 9f2c90b45e53f400cfc1fb7c493d26ee
        member d905ef25af89f16292fe8766fe5c3812
        member b92f0ea22f1a36a02621e81267a90c41
        member a75ac888ac427a1481e14f2daaa0c181
        member 29f3ba887df556c9c60a360ca9b6a7de
        member df25837ae4e1b78f895efeb604a5e5e3
        member 99543ae90a9bfeb5cf5ab66953dcf94a
        member 7f6a359445bb514a147036240184058c
        member 8bae801f3ab1ab992e91b396f41a7f89
        member dd40cd0f68dbea9be687293f6ab742e0
        member 4f201ddb2e11beb5ee36a353d968426e
        member a8d3fc5edf9620948f6dceeb88923139
        member f643726130de6433c9e245eaf86ee226
        member 6ce5b31cc4cae0eec58ea278ea1eaf73
        member 17fb9ffad3167eefd656721da7af3ab8
        member 60471334903084ffd05cdaa8b8dc7368
        member 76af8c663a63aa58a399b5d9847a65c1
        member 2358e5c3c36101a08eaf1f3f38f74f58
        member 6bfbe90ae61007861aa8c63788e9c1ae
        member 0a15ad7c885fe3b1b8be827e5f4b465a
        member ad548292024afd3d915b71349dd68313
        member a8297167d5f038f1f6ec4bbb9552d64b
        member f418d85b0907e0c54d1f0acf80efaa30
        member 0ced12d1e26f2ae7843e3952f6b59afe
        member 096a2aaeb405180dc27808ee72ce313a
        member 1e288c924524324f4d9d6dfbd7929dd1
        member 82f90b4150c4c3775e7cf06a5269a961
        member 50798ac50d3d0771d9b166dbd4a5d1c1
        member 0f557857ef428c852fcaeefad225ab20
        member 57ce43530f4f9c491a5a4a637b2e2eb2
        member 4406e91d9fea07d151730f930e42a80a
        member df23f7f864337ef6b6a09231f3c0fc3d
        member 9efd7217c95c6b1de2196f4bca280423
        member 174677a424620a863c94bf2af0c8969c
        member 75cb856c4e43e610b8e87ce33ca5b26d
        member 8428efde4f15438b8fdc3f7d36fcadad
        member 525f51aa238b44d3471eee207157f1bd
        member ed324d2d91296afdd084102bc8c6836e
        member 060d889ca6f30be98e0f539c86f4938f
        member d7b86797af24b7f3dbd4b62756f975e9
        member 904e1f9d5105b073c058d377d004b72f
        member a36039a8d40297010ba8b5f1777f22f4
        member 18da4c62f322525eb021bb89a10b7cb7
        member 644c0936ac275716bdb64c438440b80c
        member c2d0b1775f407576151eff1d7540f36b
        member e7ad30c2b17748f6aa027248bf2d0e35
        member aa4afd581ad0684e33987120e49d1ae3
        member 275c390da85387bdfc9f01a93f78e5c0
        member 70209c92892d0de6aa5d5cba8056ff8c
        member c5d5c63046b6a89af2bc920f8ee2421c
        member b574db63ac5b95dc256cb4c8dee55ccd
        member 0a5b3d34200df988d01e36b5ca080a26
        member 4d49c63175acad6bf44efaa48b3fb709
        member b84b924cb77937b466c87fd05e9243f9
        member 2b9cc341cee65ebfca31b84ae13e5f0b
        member 4e9f6073ef96ad0171f00bc6e76d19fa
        member 101be8da3b67311787f28aa8bb574ca1
        member b3ace7dbbae745c21b189b51eed306c5
        member 1f90fa4d7b092b00e7cc91952a220dd0
        member 83f68b807043fe73d7974a21dde9a8f0
        member e084d17c71535b6bf081e376c1636851
        member 1e1728dc7ba356585da87161ed1cac1e
        member 3bb2ff6b2bd23047dba90942f8295d3c
        member e2bc806a4f0f71736d1d81840368177c
        member 52fa953c4feb44e03b553454b9941ca4
        member 76738afb0ec8798312832977a9174833
        member c792fe48d30f50c16adceba0bcfb32ba
        member 20b5bfe2994cd2e7e05ad1e3f51d1c3d
        member efd1e06f91285f764bfbdfa170439116
        member 82f59859e5eef58adf3d3d0aa9b91a98
        member f05fb2360180e179c894ed6e5a412f5e
        member 18cd0e530ece6aee6d9f46074338e2f4
        member 195617393d2596518049d5db085d0512
        member 62f2a94fa52a6bab09393d04f8a7281b
        member 41dbfc7499558ab07521b88326b09166
        member 0106b6009dbd56e3b3624705bf93be2d
        member b42860470ba016fb51e314b7b11e7586
        member 5ce51e9aae607685d60003a08d267879
        member fc4b151cbe1bc8ca7de550eb7825813d
        member 2636a2a26430e50744fd33280139cd9d
        member acacdba25db3212900eddf21f303a8f7
        member bb837e94518a7d847db597d0403a68a3
        member 95b18c76b944ecbd9f5b932934455d9b
        member 80d7bdd695a8fa19681f649a07b78409
        member 34f68decf60c2f55a441b72e4c0b59fd
        member 692fd7e096bfa70ef47d25256f72261b
        member 917f0252b8740447750ae3111181a69c
        member 269809da18c5045a3d57aea2f278e5ba
        member 2b28ddc49f9adf85add1c07b9378bfd2
        member ac75560161aa2eaa0f19cda386c79358
        member 26d2289ad70b0a1e390ac909d12ea77a
        member 094f78496dd5466f0fa0830789e195bd
        member 9b45402154aa3889abb2fc2557f94ccd
        member d27c6382e4159eb69b0af0b9d44555ee
        member 7c0f1d83d8f992172dfefc5a24dd671f
        member 375c3d640a84188f2569a92a8a48f64a
        member 66006a7f91298e957dbae1dc6d572a81
        member 3dbd7d69be9ddf085dd74314d130c221
        member 2b9956bf70c2b776bd2a5deb60f97348
        member bea315024f8a841507e03f5b82e70e10
        member e533a271489ca6a344301c390aa7cf2a
