SoldierWeaponUnlockAsset 415e5d65b86d3c4f9f2a8117ae11699c #primary instance
    $::UnlockAssetBase
        $::Asset
            $::DataContainer
            Name Weapons/MK11/U_MK11
        UnlockUserData *nullGuid*
        DebugUnlockId U_MK11
        Identifier 874726622
        UnlockScore 0
        AutoAvailable False
        NextLevelUnlockAsset *nullGuid*
        HiddenInProgression False
        AvailableForPlayer UnlockAvailability_All
    Weapon weapons/mk11/mk11/c84d43626847d176a6ab71536e3310f5
    Extra *nullGuid*
    WeaponIdentifier 1145417684
